,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
75,Hellmouth,0.775,0.545,0,-8.321,1,0.0228,0.0186,0.0393,0.139,0.603,109.982,audio_features,1b7rTTo8WXfF9p1aOTEeCO,spotify:track:1b7rTTo8WXfF9p1aOTEeCO,https://api.spotify.com/v1/tracks/1b7rTTo8WXfF9p1aOTEeCO,https://api.spotify.com/v1/audio-analysis/1b7rTTo8WXfF9p1aOTEeCO,237442,4
76,Танцевать,0.541,0.803,7,-4.494,1,0.036,0.521,0.839,0.0786,0.814,84.982,audio_features,6PF9c5r8Lp0K2RiodWnAKW,spotify:track:6PF9c5r8Lp0K2RiodWnAKW,https://api.spotify.com/v1/tracks/6PF9c5r8Lp0K2RiodWnAKW,https://api.spotify.com/v1/audio-analysis/6PF9c5r8Lp0K2RiodWnAKW,202846,4
77,Don't Give Up - 2012 Remaster,0.543,0.257,3,-15.568,1,0.0528,0.832,0.000442,0.078,0.363,161.409,audio_features,1wKkRvZnuVde5OYhKwTMeY,spotify:track:1wKkRvZnuVde5OYhKwTMeY,https://api.spotify.com/v1/tracks/1wKkRvZnuVde5OYhKwTMeY,https://api.spotify.com/v1/audio-analysis/1wKkRvZnuVde5OYhKwTMeY,393586,3
78,Ditch,0.547,0.564,0,-8.307,1,0.031,0.0194,0.0437,0.122,0.0677,112.97,audio_features,34b7J43bozWsfeo4sqEViN,spotify:track:34b7J43bozWsfeo4sqEViN,https://api.spotify.com/v1/tracks/34b7J43bozWsfeo4sqEViN,https://api.spotify.com/v1/audio-analysis/34b7J43bozWsfeo4sqEViN,210233,4
79,I Feel How the Snow Falls,0.629,0.542,6,-10.132,0,0.0281,0.079,0.83,0.594,0.269,113.009,audio_features,5peGPOKKY9NU6xHwuXwXpO,spotify:track:5peGPOKKY9NU6xHwuXwXpO,https://api.spotify.com/v1/tracks/5peGPOKKY9NU6xHwuXwXpO,https://api.spotify.com/v1/audio-analysis/5peGPOKKY9NU6xHwuXwXpO,258919,4
80,Champagne Coast,0.813,0.406,9,-12.626,1,0.0662,0.0203,0.392,0.0757,0.755,122.658,audio_features,2KufM8PiQY4i52XhRL96Fd,spotify:track:2KufM8PiQY4i52XhRL96Fd,https://api.spotify.com/v1/tracks/2KufM8PiQY4i52XhRL96Fd,https://api.spotify.com/v1/audio-analysis/2KufM8PiQY4i52XhRL96Fd,292373,4
81,Violence - Original Mix,0.533,0.9,5,-4.974,0,0.0498,0.0014,0.0997,0.127,0.0774,99.99,audio_features,31XtwSNrnxzSPlt2k6pAc6,spotify:track:31XtwSNrnxzSPlt2k6pAc6,https://api.spotify.com/v1/tracks/31XtwSNrnxzSPlt2k6pAc6,https://api.spotify.com/v1/audio-analysis/31XtwSNrnxzSPlt2k6pAc6,220617,4
82,Should Have Known,0.46,0.724,10,-8.695,1,0.0328,0.313,0.757,0.144,0.691,174.716,audio_features,6NFcGOVBSTXHoEiExWTUk6,spotify:track:6NFcGOVBSTXHoEiExWTUk6,https://api.spotify.com/v1/tracks/6NFcGOVBSTXHoEiExWTUk6,https://api.spotify.com/v1/audio-analysis/6NFcGOVBSTXHoEiExWTUk6,186137,4
83,Toxic Eye,0.523,0.835,7,-6.004,0,0.039,0.163,1.3e-05,0.189,0.545,127.968,audio_features,6Nk5Jr5RqhfSJ0XZs9CHyA,spotify:track:6Nk5Jr5RqhfSJ0XZs9CHyA,https://api.spotify.com/v1/tracks/6Nk5Jr5RqhfSJ0XZs9CHyA,https://api.spotify.com/v1/audio-analysis/6Nk5Jr5RqhfSJ0XZs9CHyA,279062,4
84,Woods,0.637,0.765,1,-8.958,1,0.0327,0.064,0.949,0.124,0.837,149.004,audio_features,1vpp843BMb9ZHdhlln8WUt,spotify:track:1vpp843BMb9ZHdhlln8WUt,https://api.spotify.com/v1/tracks/1vpp843BMb9ZHdhlln8WUt,https://api.spotify.com/v1/audio-analysis/1vpp843BMb9ZHdhlln8WUt,184000,4
