,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
40,Taylor Swift,cardigan,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,audio_features,4R2kfaDFhslZEMJqAFNpdd,spotify:track:4R2kfaDFhslZEMJqAFNpdd,https://api.spotify.com/v1/tracks/4R2kfaDFhslZEMJqAFNpdd,https://api.spotify.com/v1/audio-analysis/4R2kfaDFhslZEMJqAFNpdd,239560,4
41,Caribou,Home,0.696,0.661,7,-7.553,1,0.0845,0.036,0.00954,0.198,0.557,96.987,audio_features,28zoejp0PJ4dpp9xOPQPiO,spotify:track:28zoejp0PJ4dpp9xOPQPiO,https://api.spotify.com/v1/tracks/28zoejp0PJ4dpp9xOPQPiO,https://api.spotify.com/v1/audio-analysis/28zoejp0PJ4dpp9xOPQPiO,156293,4
42,Karen Harding,Undo My Heart,0.605,0.873,11,-6.267,1,0.035,0.0352,0.0041,0.0644,0.343,122.998,audio_features,4IKa5EKTmhKvV1wuTJf9Eq,spotify:track:4IKa5EKTmhKvV1wuTJf9Eq,https://api.spotify.com/v1/tracks/4IKa5EKTmhKvV1wuTJf9Eq,https://api.spotify.com/v1/audio-analysis/4IKa5EKTmhKvV1wuTJf9Eq,180419,4
43,Sofi Tukker,Purple Hat,0.777,0.744,9,-7.42,1,0.204,0.331,0.0073,0.088,0.654,94.019,audio_features,0bGH7ezs7WdDwpqnsvGf1z,spotify:track:0bGH7ezs7WdDwpqnsvGf1z,https://api.spotify.com/v1/tracks/0bGH7ezs7WdDwpqnsvGf1z,https://api.spotify.com/v1/audio-analysis/0bGH7ezs7WdDwpqnsvGf1z,178369,4
44,Bomba Estéreo,Algo Está Cambiando,0.537,0.61,1,-8.263,0,0.162,0.626,0.00285,0.0946,0.0501,110.056,audio_features,5dLz5CRzW8RcNEptn0NtOi,spotify:track:5dLz5CRzW8RcNEptn0NtOi,https://api.spotify.com/v1/tracks/5dLz5CRzW8RcNEptn0NtOi,https://api.spotify.com/v1/audio-analysis/5dLz5CRzW8RcNEptn0NtOi,269347,4
45,MGMT,One Thing Left to Try,0.576,0.94,8,-4.541,1,0.0445,0.00678,0.00066,0.308,0.667,128.017,audio_features,52pWggDlN5mVeX111i06PP,spotify:track:52pWggDlN5mVeX111i06PP,https://api.spotify.com/v1/tracks/52pWggDlN5mVeX111i06PP,https://api.spotify.com/v1/audio-analysis/52pWggDlN5mVeX111i06PP,260347,4
46,Gorillaz,Aries (feat. Peter Hook and Georgia),0.611,0.667,2,-7.801,1,0.0342,0.0175,0.0844,0.241,0.793,119.996,audio_features,2haIfONRw1Bhi2zSp67MYU,spotify:track:2haIfONRw1Bhi2zSp67MYU,https://api.spotify.com/v1/tracks/2haIfONRw1Bhi2zSp67MYU,https://api.spotify.com/v1/audio-analysis/2haIfONRw1Bhi2zSp67MYU,253333,4
47,The Beach Boys,You Still Believe In Me - Remastered,0.436,0.434,11,-7.965,1,0.031,0.119,2.95e-06,0.183,0.121,88.872,audio_features,4fJtDPJ2NiLfFfZfu8HyYc,spotify:track:4fJtDPJ2NiLfFfZfu8HyYc,https://api.spotify.com/v1/tracks/4fJtDPJ2NiLfFfZfu8HyYc,https://api.spotify.com/v1/audio-analysis/4fJtDPJ2NiLfFfZfu8HyYc,154960,4
48,Robyn,Hang With Me,0.654,0.818,7,-6.152,1,0.035,0.00973,0.00122,0.107,0.245,114.97,audio_features,6rW8q1p2GCjGMRAlnxBeo7,spotify:track:6rW8q1p2GCjGMRAlnxBeo7,https://api.spotify.com/v1/tracks/6rW8q1p2GCjGMRAlnxBeo7,https://api.spotify.com/v1/audio-analysis/6rW8q1p2GCjGMRAlnxBeo7,259507,4
49,Tame Impala,Breathe Deeper,0.664,0.848,11,-4.51,0,0.0322,0.0245,0.000127,0.172,0.502,104.998,audio_features,3LbZIhU0smEU5SUnxod4j4,spotify:track:3LbZIhU0smEU5SUnxod4j4,https://api.spotify.com/v1/tracks/3LbZIhU0smEU5SUnxod4j4,https://api.spotify.com/v1/audio-analysis/3LbZIhU0smEU5SUnxod4j4,372867,4
