,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
16,Hero of My Story 3style3,0.547,0.65,0,-5.659,1,0.0357,0.219,0.0223,0.0811,0.507,148.064,audio_features,1YvP5iLuWEszfWEfI4DtW5,spotify:track:1YvP5iLuWEszfWEfI4DtW5,https://api.spotify.com/v1/tracks/1YvP5iLuWEszfWEfI4DtW5,https://api.spotify.com/v1/audio-analysis/1YvP5iLuWEszfWEfI4DtW5,119040,4
17,The Whether Channel,0.364,0.445,7,-10.417,1,0.046,0.75,0.0307,0.112,0.171,149.759,audio_features,5lckuyltjjZl6dkkcgWaOG,spotify:track:5lckuyltjjZl6dkkcgWaOG,https://api.spotify.com/v1/tracks/5lckuyltjjZl6dkkcgWaOG,https://api.spotify.com/v1/audio-analysis/5lckuyltjjZl6dkkcgWaOG,368117,3
18,Sugar & Diesel,0.507,0.399,2,-12.375,1,0.169,0.937,0.0104,0.0904,0.34,159.821,audio_features,32Ts37hxWyPWhMXUeZGz9a,spotify:track:32Ts37hxWyPWhMXUeZGz9a,https://api.spotify.com/v1/tracks/32Ts37hxWyPWhMXUeZGz9a,https://api.spotify.com/v1/audio-analysis/32Ts37hxWyPWhMXUeZGz9a,199398,4
19,Acid at 7/11,0.624,0.421,7,-12.602,1,0.066,0.644,0.0673,0.089,0.284,76.004,audio_features,3L60fLXCpeTF4jRL8a7kk9,spotify:track:3L60fLXCpeTF4jRL8a7kk9,https://api.spotify.com/v1/tracks/3L60fLXCpeTF4jRL8a7kk9,https://api.spotify.com/v1/audio-analysis/3L60fLXCpeTF4jRL8a7kk9,192507,4
20,100s,0.753,0.548,5,-7.463,0,0.0561,0.47,4.23e-05,0.182,0.444,120.994,audio_features,7jCb7sXTT0y6yBZB7950p6,spotify:track:7jCb7sXTT0y6yBZB7950p6,https://api.spotify.com/v1/tracks/7jCb7sXTT0y6yBZB7950p6,https://api.spotify.com/v1/audio-analysis/7jCb7sXTT0y6yBZB7950p6,146707,4
21,I Don’t Love Me Anymore,0.604,0.844,3,-6.076,0,0.0314,0.000128,0.604,0.129,0.459,130.001,audio_features,2TU25cP7heJvinIgySpfrR,spotify:track:2TU25cP7heJvinIgySpfrR,https://api.spotify.com/v1/tracks/2TU25cP7heJvinIgySpfrR,https://api.spotify.com/v1/audio-analysis/2TU25cP7heJvinIgySpfrR,174527,4
22,Cc,0.532,0.473,6,-8.78,0,0.0506,0.851,0.877,0.115,0.0899,82.936,audio_features,0vsHcvOXID7A5RcpiNiLGj,spotify:track:0vsHcvOXID7A5RcpiNiLGj,https://api.spotify.com/v1/tracks/0vsHcvOXID7A5RcpiNiLGj,https://api.spotify.com/v1/audio-analysis/0vsHcvOXID7A5RcpiNiLGj,154058,4
23,Pikachu,0.701,0.464,5,-8.952,1,0.101,0.773,0.755,0.119,0.359,140.955,audio_features,2tasUxhSR4DFdwcclUwnel,spotify:track:2tasUxhSR4DFdwcclUwnel,https://api.spotify.com/v1/tracks/2tasUxhSR4DFdwcclUwnel,https://api.spotify.com/v1/audio-analysis/2tasUxhSR4DFdwcclUwnel,127080,4
24,MERRY-GO-ROUND,0.901,0.285,7,-8.245,1,0.132,0.477,8.25e-05,0.146,0.422,139.984,audio_features,0mVrySASHFCDRnM7Vx4K3M,spotify:track:0mVrySASHFCDRnM7Vx4K3M,https://api.spotify.com/v1/tracks/0mVrySASHFCDRnM7Vx4K3M,https://api.spotify.com/v1/audio-analysis/0mVrySASHFCDRnM7Vx4K3M,124000,4
25,Bow Ecco,0.272,0.667,6,-7.523,1,0.0429,0.882,0.412,0.293,0.135,88.15,audio_features,1nRUWfnATGKvRfjW6hujFy,spotify:track:1nRUWfnATGKvRfjW6hujFy,https://api.spotify.com/v1/tracks/1nRUWfnATGKvRfjW6hujFy,https://api.spotify.com/v1/audio-analysis/1nRUWfnATGKvRfjW6hujFy,131209,3
