,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
51,Lost Conversations,0.401,0.466,6,-15.206,0,0.0312,0.726,0.529,0.337,0.291,160.061,audio_features,1IMTwHsibDdmgH64pBYowX,spotify:track:1IMTwHsibDdmgH64pBYowX,https://api.spotify.com/v1/tracks/1IMTwHsibDdmgH64pBYowX,https://api.spotify.com/v1/audio-analysis/1IMTwHsibDdmgH64pBYowX,248065,3
52,Love You For A Long Time,0.707,0.67,9,-6.137,1,0.0323,0.164,0.00283,0.109,0.822,112.993,audio_features,6QTPacyXkZWG9FMwq6L1hJ,spotify:track:6QTPacyXkZWG9FMwq6L1hJ,https://api.spotify.com/v1/tracks/6QTPacyXkZWG9FMwq6L1hJ,https://api.spotify.com/v1/audio-analysis/6QTPacyXkZWG9FMwq6L1hJ,223120,4
53,You Were,0.642,0.57,7,-12.557,1,0.0573,0.322,0.00856,0.0626,0.611,81.997,audio_features,7e4ZgRoo2aul0CDlLfIl1F,spotify:track:7e4ZgRoo2aul0CDlLfIl1F,https://api.spotify.com/v1/tracks/7e4ZgRoo2aul0CDlLfIl1F,https://api.spotify.com/v1/audio-analysis/7e4ZgRoo2aul0CDlLfIl1F,193747,4
54,When U Loved Me,0.739,0.324,8,-13.088,1,0.0424,0.673,0.0855,0.296,0.739,79.011,audio_features,7pADtei8K3suMQlLBxR4iw,spotify:track:7pADtei8K3suMQlLBxR4iw,https://api.spotify.com/v1/tracks/7pADtei8K3suMQlLBxR4iw,https://api.spotify.com/v1/audio-analysis/7pADtei8K3suMQlLBxR4iw,191147,4
55,Lost In A Dream,0.347,0.246,5,-12.645,0,0.0299,0.856,0.321,0.114,0.0397,127.605,audio_features,7wLvR8mW9yBPOPVeMaXJ20,spotify:track:7wLvR8mW9yBPOPVeMaXJ20,https://api.spotify.com/v1/tracks/7wLvR8mW9yBPOPVeMaXJ20,https://api.spotify.com/v1/audio-analysis/7wLvR8mW9yBPOPVeMaXJ20,175012,4
56,Different State of Mind,0.658,0.393,11,-9.96,1,0.0363,0.715,0.209,0.173,0.74,141.037,audio_features,1qRsC0QNSTXiTvHeeUlN5k,spotify:track:1qRsC0QNSTXiTvHeeUlN5k,https://api.spotify.com/v1/tracks/1qRsC0QNSTXiTvHeeUlN5k,https://api.spotify.com/v1/audio-analysis/1qRsC0QNSTXiTvHeeUlN5k,225532,4
57,Adore You,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,audio_features,3jjujdWJ72nww5eGnfs2E7,spotify:track:3jjujdWJ72nww5eGnfs2E7,https://api.spotify.com/v1/tracks/3jjujdWJ72nww5eGnfs2E7,https://api.spotify.com/v1/audio-analysis/3jjujdWJ72nww5eGnfs2E7,207133,4
58,If You’re Too Shy (Let Me Know) - Edit,0.651,0.806,2,-4.842,1,0.0311,0.00399,0.00455,0.0927,0.386,125.641,audio_features,3iEqGBZ2wcpVzhiAcwXVC6,spotify:track:3iEqGBZ2wcpVzhiAcwXVC6,https://api.spotify.com/v1/tracks/3iEqGBZ2wcpVzhiAcwXVC6,https://api.spotify.com/v1/audio-analysis/3iEqGBZ2wcpVzhiAcwXVC6,239877,4
59,Break My Heart,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,audio_features,017PF4Q3l4DBUiWoXk4OWT,spotify:track:017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/tracks/017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/audio-analysis/017PF4Q3l4DBUiWoXk4OWT,221820,4
60,Overnight,0.479,0.667,8,-5.429,1,0.177,0.0323,0.0,0.306,0.734,177.958,audio_features,4L9l5x0WuzNtyEBeqzvgPE,spotify:track:4L9l5x0WuzNtyEBeqzvgPE,https://api.spotify.com/v1/tracks/4L9l5x0WuzNtyEBeqzvgPE,https://api.spotify.com/v1/audio-analysis/4L9l5x0WuzNtyEBeqzvgPE,200347,4
61,Kinfolk,0.619,0.239,11,-11.648,1,0.0453,0.82,0.000578,0.293,0.242,123.985,audio_features,7BicTKsLLazfI52IwA6TxE,spotify:track:7BicTKsLLazfI52IwA6TxE,https://api.spotify.com/v1/tracks/7BicTKsLLazfI52IwA6TxE,https://api.spotify.com/v1/audio-analysis/7BicTKsLLazfI52IwA6TxE,182733,4
